type,date,contractSymbol,strike,bid,ask,bid/strike,vol,interval / topk% / 1-(point/close),change,MA5,MA20,MA40,MA80,MA40_state(keep),MA80_state(keep),situation_type,k,d
call,2020-01-17,ZION200117C00049000,49.0,1.44,1.51,0.029,1.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,-0.049999952,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-01-17,ZION200117C00050000,50.0,1.06,1.11,0.021,16.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-01-17,ZION200117C00052500,52.5,0.42,0.48,0.008,11.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-01-17,ZION200117C00055000,55.0,0.14,0.22,0.003,7.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-01-17,ZION200117C00057500,57.5,0.02,0.15,0.0,1.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-01-17,ZION200117C00060000,60.0,0.0,0.2,0.0,3.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-01-17,ZION200117C00062500,62.5,0.0,0.0,0.0,0.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-01-17,ZION200117C00065000,65.0,0.0,0.27,0.0,0.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-01-17,ZION200117C00070000,70.0,0.0,0.0,0.0,0.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-01-17,ZION200117C00075000,75.0,0.0,0.13,0.0,0.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-01-17,ZION200117C00080000,80.0,0.0,0.09,0.0,0.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-01-17,ZION200117P00023000,23.0,0.01,0.03,0.0,49.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-01-17,ZION200117P00025000,25.0,0.01,0.04,0.0,22.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-01-17,ZION200117P00030000,30.0,0.01,0.18,0.0,44.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-01-17,ZION200117P00032000,32.0,0.05,0.18,0.002,1.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-01-17,ZION200117P00033000,33.0,0.05,0.53,0.002,8.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-01-17,ZION200117P00034000,34.0,0.18,0.54,0.005,nan,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-01-17,ZION200117P00035000,35.0,0.11,0.14,0.003,11.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-01-17,ZION200117P00036000,36.0,0.09,0.25,0.003,30.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-01-17,ZION200117P00037000,37.0,0.0,0.2,0.0,8.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-01-17,ZION200117P00038000,38.0,0.15,0.24,0.004,1.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-01-17,ZION200117P00039000,39.0,0.2,0.26,0.005,24.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-01-17,ZION200117P00040000,40.0,0.27,0.33,0.007,2.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-01-17,ZION200117P00041000,41.0,0.35,0.45,0.009,4.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-01-17,ZION200117P00042000,42.0,0.48,0.52,0.011,1.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-01-17,ZION200117P00043000,43.0,0.59,0.73,0.014,65.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-01-17,ZION200117P00044000,44.0,0.8,0.86,0.018,160.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-01-17,ZION200117P00045000,45.0,1.05,1.09,0.023,120.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-01-17,ZION200117P00046000,46.0,3.25,3.95,0.071,1000.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-01-17,ZION200117P00047000,47.0,1.71,1.75,0.036,22.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,-0.30000007,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-01-17,ZION200117P00048000,48.0,2.12,2.53,0.044,10.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,-0.13000011,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-01-17,ZION200117P00049000,49.0,4.75,4.95,0.097,1.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-01-17,ZION200117P00050000,50.0,3.15,3.6,0.063,3.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-01-17,ZION200117P00052500,52.5,5.05,5.55,0.096,1.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-01-17,ZION200117P00055000,55.0,7.05,7.75,0.128,2.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-01-17,ZION200117P00057500,57.5,10.15,12.65,0.177,0.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-01-17,ZION200117P00060000,60.0,12.5,16.95,0.208,0.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-01-17,ZION200117P00062500,62.5,16.7,19.25,0.267,0.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-01-17,ZION200117P00065000,65.0,17.55,21.65,0.27,0.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-01-17,ZION200117P00070000,70.0,22.3,26.45,0.319,0.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-04-17,ZION200417C00034000,34.0,13.55,14.65,0.399,75.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-04-17,ZION200417C00035000,35.0,12.5,13.7,0.357,25.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-04-17,ZION200417C00036000,36.0,8.25,9.75,0.229,nan,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-04-17,ZION200417C00040000,40.0,5.65,6.2,0.141,50.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-04-17,ZION200417C00042000,42.0,6.45,7.7,0.154,nan,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-04-17,ZION200417C00043000,43.0,5.55,7.05,0.129,10.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-04-17,ZION200417C00044000,44.0,3.45,3.75,0.078,nan,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-04-17,ZION200417C00045000,45.0,1.31,2.23,0.029,10.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-04-17,ZION200417C00046000,46.0,4.0,4.45,0.087,3.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-04-17,ZION200417C00047000,47.0,3.45,3.7,0.073,2.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-04-17,ZION200417C00048000,48.0,2.94,3.5,0.061,250.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-04-17,ZION200417C00050000,50.0,2.1,2.67,0.042,10.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,-0.20000005,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-04-17,ZION200417C00055000,55.0,0.67,1.15,0.012,1.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-04-17,ZION200417P00028000,28.0,0.29,0.47,0.01,6.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-04-17,ZION200417P00032000,32.0,0.0,0.0,0.0,nan,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
