type,date,contractSymbol,strike,bid,ask,bid/strike,vol,avg_vol,|1-(strike/close)|,Change,MA5,MA20,MA40,MA80,MA40_state,MA80_state,MA40_state_keep,MA80_state_keep,situation_type,k,d
call,2019-10-18,AKAM191018C00080000,80.0,0.0,0.0,0.0,1.0,-1,0.114,0.0,90.08,90.0,89.8,86.9,1,1,5,153,big_cow,60.773,53.436
call,2019-10-18,AKAM191018C00083000,83.0,6.1,10.7,0.073,nan,-1,0.081,0.0,90.08,90.0,89.8,86.9,1,1,5,153,big_cow,60.773,53.436
call,2019-10-18,AKAM191018C00084000,84.0,6.6,9.75,0.079,3.0,-1,0.07,0.0,90.08,90.0,89.8,86.9,1,1,5,153,big_cow,60.773,53.436
call,2019-10-18,AKAM191018C00085000,85.0,0.0,0.0,0.0,2.0,-1,0.059,0.0,90.08,90.0,89.8,86.9,1,1,5,153,big_cow,60.773,53.436
call,2019-10-18,AKAM191018C00085500,85.5,0.0,0.0,0.0,nan,-1,0.053,0.0,90.08,90.0,89.8,86.9,1,1,5,153,big_cow,60.773,53.436
call,2019-10-18,AKAM191018C00086000,86.0,5.05,6.25,0.059,nan,-1,0.048,0.0,90.08,90.0,89.8,86.9,1,1,5,153,big_cow,60.773,53.436
call,2019-10-18,AKAM191018C00086500,86.5,3.9,6.05,0.045,11.0,-1,0.042,0.0,90.08,90.0,89.8,86.9,1,1,5,153,big_cow,60.773,53.436
call,2019-10-18,AKAM191018C00087000,87.0,3.5,6.6,0.04,1.0,-1,0.037,0.0,90.08,90.0,89.8,86.9,1,1,5,153,big_cow,60.773,53.436
call,2019-10-18,AKAM191018C00087500,87.5,2.88,5.2,0.033,2.0,-1,0.031,0.0,90.08,90.0,89.8,86.9,1,1,5,153,big_cow,60.773,53.436
call,2019-10-18,AKAM191018C00088000,88.0,2.92,4.15,0.033,120.0,-1,0.026,0.0,90.08,90.0,89.8,86.9,1,1,5,153,big_cow,60.773,53.436
call,2019-10-18,AKAM191018C00088500,88.5,0.0,0.0,0.0,2.0,-1,0.02,0.0,90.08,90.0,89.8,86.9,1,1,5,153,big_cow,60.773,53.436
call,2019-10-18,AKAM191018C00089000,89.0,2.38,2.66,0.027,1.0,-1,0.015,0.0,90.08,90.0,89.8,86.9,1,1,5,153,big_cow,60.773,53.436
call,2019-10-18,AKAM191018C00089500,89.5,0.0,0.0,0.0,1.0,-1,0.009,0.0,90.08,90.0,89.8,86.9,1,1,5,153,big_cow,60.773,53.436
call,2019-10-18,AKAM191018C00090000,90.0,1.54,1.85,0.017,4.0,-1,0.004,0.0,90.08,90.0,89.8,86.9,1,1,5,153,big_cow,60.773,53.436
call,2019-10-18,AKAM191018C00090500,90.5,1.23,1.5,0.014,6.0,-1,0.002,0.0,90.08,90.0,89.8,86.9,1,1,5,153,big_cow,60.773,53.436
call,2019-10-18,AKAM191018C00091000,91.0,0.89,1.12,0.01,32.0,-1,0.008,0.0,90.08,90.0,89.8,86.9,1,1,5,153,big_cow,60.773,53.436
call,2019-10-18,AKAM191018C00091500,91.5,0.0,0.0,0.0,1.0,-1,0.013,0.0,90.08,90.0,89.8,86.9,1,1,5,153,big_cow,60.773,53.436
call,2019-10-18,AKAM191018C00092000,92.0,0.38,0.52,0.004,4.0,-1,0.019,0.0,90.08,90.0,89.8,86.9,1,1,5,153,big_cow,60.773,53.436
call,2019-10-18,AKAM191018C00092500,92.5,0.22,0.33,0.002,9.0,-1,0.024,0.0,90.08,90.0,89.8,86.9,1,1,5,153,big_cow,60.773,53.436
call,2019-10-18,AKAM191018C00093000,93.0,0.0,0.0,0.0,18.0,-1,0.03,0.0,90.08,90.0,89.8,86.9,1,1,5,153,big_cow,60.773,53.436
call,2019-10-18,AKAM191018C00093500,93.5,0.0,0.0,0.0,14.0,-1,0.035,0.0,90.08,90.0,89.8,86.9,1,1,5,153,big_cow,60.773,53.436
call,2019-10-18,AKAM191018C00094000,94.0,0.03,0.09,0.0,4.0,-1,0.041,0.0,90.08,90.0,89.8,86.9,1,1,5,153,big_cow,60.773,53.436
call,2019-10-18,AKAM191018C00094500,94.5,0.0,0.0,0.0,10.0,-1,0.046,0.0,90.08,90.0,89.8,86.9,1,1,5,153,big_cow,60.773,53.436
call,2019-10-18,AKAM191018C00095000,95.0,0.0,0.09,0.0,20.0,-1,0.052,0.0,90.08,90.0,89.8,86.9,1,1,5,153,big_cow,60.773,53.436
call,2019-10-18,AKAM191018C00095500,95.5,0.0,0.0,0.0,2.0,-1,0.057,0.0,90.08,90.0,89.8,86.9,1,1,5,153,big_cow,60.773,53.436
call,2019-10-18,AKAM191018C00096000,96.0,0.0,0.0,0.0,nan,-1,0.063,0.0,90.08,90.0,89.8,86.9,1,1,5,153,big_cow,60.773,53.436
call,2019-10-18,AKAM191018C00096500,96.5,0.0,0.0,0.0,2.0,-1,0.068,0.0,90.08,90.0,89.8,86.9,1,1,5,153,big_cow,60.773,53.436
call,2019-10-18,AKAM191018C00097000,97.0,0.0,0.0,0.0,5.0,-1,0.074,0.0,90.08,90.0,89.8,86.9,1,1,5,153,big_cow,60.773,53.436
call,2019-10-18,AKAM191018C00097500,97.5,0.0,0.0,0.0,2.0,-1,0.079,0.0,90.08,90.0,89.8,86.9,1,1,5,153,big_cow,60.773,53.436
call,2019-10-18,AKAM191018C00098000,98.0,0.0,0.0,0.0,nan,-1,0.085,0.0,90.08,90.0,89.8,86.9,1,1,5,153,big_cow,60.773,53.436
call,2019-10-18,AKAM191018C00100000,100.0,0.0,0.3,0.0,3.0,-1,0.107,0.0,90.08,90.0,89.8,86.9,1,1,5,153,big_cow,60.773,53.436
put,2019-10-18,AKAM191018P00070000,70.0,0.01,1.31,0.0,nan,-1,0.225,0.0,90.08,90.0,89.8,86.9,1,1,5,153,big_cow,60.773,53.436
