type,date,contractSymbol,strike,bid,ask,bid/strike,vol,avg_vol,|1-(strike/close)|,Change,MA5,MA20,MA40,MA80,MA40_state,MA80_state,MA40_state_keep,MA80_state_keep,situation_type,k,d
call,2019-10-18,ACGL191018C00030000,30.0,11.3,12.3,0.377,8,-1,0.282,0.0,41.43,41.2,40.41,39.0,1,1,115,173,big_cow,42.643,49.735
call,2019-10-18,ACGL191018C00035000,35.0,5.4,7.7,0.154,4,-1,0.162,0.0,41.43,41.2,40.41,39.0,1,1,115,173,big_cow,42.643,49.735
call,2019-10-18,ACGL191018C00040000,40.0,1.75,2.3,0.044,32,-1,0.042,0.0,41.43,41.2,40.41,39.0,1,1,115,173,big_cow,42.643,49.735
call,2019-10-18,ACGL191018C00045000,45.0,0.0,0.25,0.0,1,-1,0.077,0.0,41.43,41.2,40.41,39.0,1,1,115,173,big_cow,42.643,49.735
put,2019-10-18,ACGL191018P00035000,35.0,0.0,0.25,0.0,10.0,-1,0.162,0.0,41.43,41.2,40.41,39.0,1,1,115,173,big_cow,42.643,49.735
put,2019-10-18,ACGL191018P00040000,40.0,0.05,0.15,0.001,3.0,-1,0.042,0.0,41.43,41.2,40.41,39.0,1,1,115,173,big_cow,42.643,49.735
put,2019-10-18,ACGL191018P00045000,45.0,2.75,3.5,0.061,nan,-1,0.077,0.0,41.43,41.2,40.41,39.0,1,1,115,173,big_cow,42.643,49.735
call,2019-11-15,ACGL191115C00030000,30.0,nan,nan,nan,nan,-1,0.282,0.0,41.43,41.2,40.41,39.0,1,1,115,173,big_cow,42.643,49.735
call,2019-11-15,ACGL191115C00040000,40.0,2.25,2.55,0.056,22.0,-1,0.042,0.0,41.43,41.2,40.41,39.0,1,1,115,173,big_cow,42.643,49.735
call,2019-11-15,ACGL191115C00045000,45.0,0.1,0.25,0.002,15.0,-1,0.077,0.0,41.43,41.2,40.41,39.0,1,1,115,173,big_cow,42.643,49.735
put,2019-11-15,ACGL191115P00040000,40.0,0.3,0.55,0.007,nan,-1,0.042,0.0,41.43,41.2,40.41,39.0,1,1,115,173,big_cow,42.643,49.735
put,2019-11-15,ACGL191115P00045000,45.0,nan,nan,nan,nan,-1,0.077,0.0,41.43,41.2,40.41,39.0,1,1,115,173,big_cow,42.643,49.735
call,2019-12-20,ACGL191220C00020000,20.0,21.2,21.8,1.06,1,-1,0.521,0.0,41.43,41.2,40.41,39.0,1,1,115,173,big_cow,42.643,49.735
call,2019-12-20,ACGL191220C00025000,25.0,15.4,16.7,0.616,2,-1,0.401,0.0,41.43,41.2,40.41,39.0,1,1,115,173,big_cow,42.643,49.735
call,2019-12-20,ACGL191220C00030000,30.0,10.2,11.2,0.34,3,-1,0.282,0.0,41.43,41.2,40.41,39.0,1,1,115,173,big_cow,42.643,49.735
call,2019-12-20,ACGL191220C00035000,35.0,6.8,7.6,0.194,9,-1,0.162,0.0,41.43,41.2,40.41,39.0,1,1,115,173,big_cow,42.643,49.735
call,2019-12-20,ACGL191220C00040000,40.0,2.55,2.95,0.064,15,-1,0.042,0.0,41.43,41.2,40.41,39.0,1,1,115,173,big_cow,42.643,49.735
call,2019-12-20,ACGL191220C00045000,45.0,0.3,0.6,0.007,11,-1,0.077,0.0,41.43,41.2,40.41,39.0,1,1,115,173,big_cow,42.643,49.735
put,2019-12-20,ACGL191220P00030000,30.0,0.0,0.0,0.0,nan,-1,0.282,0.0,41.43,41.2,40.41,39.0,1,1,115,173,big_cow,42.643,49.735
put,2019-12-20,ACGL191220P00035000,35.0,0.15,0.25,0.004,8.0,-1,0.162,0.0,41.43,41.2,40.41,39.0,1,1,115,173,big_cow,42.643,49.735
put,2019-12-20,ACGL191220P00040000,40.0,0.6,0.8,0.015,12.0,-1,0.042,0.0,41.43,41.2,40.41,39.0,1,1,115,173,big_cow,42.643,49.735
put,2019-12-20,ACGL191220P00045000,45.0,3.2,3.6,0.071,3.0,-1,0.077,0.0,41.43,41.2,40.41,39.0,1,1,115,173,big_cow,42.643,49.735
call,2020-03-20,ACGL200320C00030000,30.0,11.4,12.8,0.38,1.0,-1,0.282,0.0,41.43,41.2,40.41,39.0,1,1,115,173,big_cow,42.643,49.735
call,2020-03-20,ACGL200320C00035000,35.0,7.3,7.9,0.209,8.0,-1,0.162,0.0,41.43,41.2,40.41,39.0,1,1,115,173,big_cow,42.643,49.735
call,2020-03-20,ACGL200320C00040000,40.0,3.4,3.9,0.085,1.0,-1,0.042,0.0,41.43,41.2,40.41,39.0,1,1,115,173,big_cow,42.643,49.735
call,2020-03-20,ACGL200320C00045000,45.0,1.05,1.4,0.023,2.0,-1,0.077,0.0,41.43,41.2,40.41,39.0,1,1,115,173,big_cow,42.643,49.735
call,2020-03-20,ACGL200320C00050000,50.0,0.25,0.4,0.005,nan,-1,0.197,0.0,41.43,41.2,40.41,39.0,1,1,115,173,big_cow,42.643,49.735
put,2020-03-20,ACGL200320P00030000,30.0,0.05,0.25,0.002,1.0,-1,0.282,0.0,41.43,41.2,40.41,39.0,1,1,115,173,big_cow,42.643,49.735
put,2020-03-20,ACGL200320P00035000,35.0,0.45,0.6,0.013,1.0,-1,0.162,0.0,41.43,41.2,40.41,39.0,1,1,115,173,big_cow,42.643,49.735
put,2020-03-20,ACGL200320P00040000,40.0,1.2,1.6,0.03,1.0,-1,0.042,0.0,41.43,41.2,40.41,39.0,1,1,115,173,big_cow,42.643,49.735
put,2020-03-20,ACGL200320P00045000,45.0,3.9,4.2,0.087,nan,-1,0.077,0.0,41.43,41.2,40.41,39.0,1,1,115,173,big_cow,42.643,49.735
