Date,Open,High,Low,Close,Adj Close,Volume
2017-11-02,21.900000,22.650000,21.650000,22.500000,20.225864,1191000
2017-11-03,22.600000,23.150000,22.500000,22.549999,20.270811,660900
2017-11-06,22.700001,23.000000,22.150000,22.250000,20.001135,838600
2017-11-07,null,null,null,null,null,null
2017-11-08,null,null,null,null,null,null
2017-11-09,null,null,null,null,null,null
2017-11-10,null,null,null,null,null,null
2017-11-13,null,null,null,null,null,null
2017-11-14,null,null,null,null,null,null
2017-11-15,null,null,null,null,null,null
2017-11-16,null,null,null,null,null,null
2017-11-17,null,null,null,null,null,null
2017-11-20,null,null,null,null,null,null
2017-11-21,null,null,null,null,null,null
2017-11-22,null,null,null,null,null,null
2017-11-24,null,null,null,null,null,null
2017-11-27,null,null,null,null,null,null
2017-11-28,null,null,null,null,null,null
2017-11-29,null,null,null,null,null,null
2017-11-30,null,null,null,null,null,null
2017-12-01,null,null,null,null,null,null
2017-12-04,null,null,null,null,null,null
2017-12-05,null,null,null,null,null,null
2017-12-06,null,null,null,null,null,null
2017-12-07,null,null,null,null,null,null
2017-12-08,null,null,null,null,null,null
2017-12-11,null,null,null,null,null,null
2017-12-12,null,null,null,null,null,null
2017-12-13,null,null,null,null,null,null
2017-12-14,null,null,null,null,null,null
2017-12-15,null,null,null,null,null,null
2017-12-18,null,null,null,null,null,null
2017-12-19,null,null,null,null,null,null
2017-12-20,null,null,null,null,null,null
2017-12-21,null,null,null,null,null,null
2017-12-22,null,null,null,null,null,null
2017-12-26,null,null,null,null,null,null
2017-12-27,null,null,null,null,null,null
2017-12-28,null,null,null,null,null,null
2017-12-29,null,null,null,null,null,null
2018-01-02,23.000000,23.450001,22.760000,23.299999,20.945007,727800
2018-01-03,23.500000,24.100000,23.299999,23.900000,21.484362,817100
2018-01-04,24.100000,24.400000,23.549999,23.900000,21.484362,571300
2018-01-05,24.049999,24.100000,23.200001,23.950001,21.529312,788000
2018-01-08,23.950001,24.150000,23.549999,24.100000,21.664148,427900
2018-01-09,24.250000,24.500000,24.049999,24.250000,21.798990,530600
2018-01-10,24.350000,24.650000,24.150000,24.250000,21.798990,614600
2018-01-11,24.500000,24.950001,24.450001,24.700001,22.203506,760000
2018-01-12,24.799999,25.500000,24.750000,25.299999,22.742865,732400
2018-01-16,25.400000,25.850000,24.450001,24.850000,22.338343,1076200
2018-01-17,25.000000,25.000000,24.430000,24.700001,22.203506,490800
2018-01-18,24.650000,24.700001,24.049999,24.400000,21.933830,469100
2018-01-19,24.299999,24.450001,24.100000,24.350000,21.888882,617800
2018-01-22,24.400000,24.850000,24.200001,24.549999,22.068666,562500
2018-01-23,24.500000,24.750000,24.299999,24.500000,22.023720,609000
2018-01-24,24.549999,25.200001,24.500000,25.000000,22.473185,731600
2018-01-25,25.150000,25.530001,25.150000,25.450001,22.877703,677100
2018-01-26,25.700001,25.750000,25.400000,25.600000,23.012541,564800
2018-01-29,25.650000,25.900000,25.200001,25.500000,22.922646,386100
2018-01-30,25.350000,25.450001,25.000000,25.299999,22.742865,1265400
2018-01-31,25.500000,25.650000,25.000000,25.200001,22.652969,373900
2018-02-01,25.150000,25.850000,25.049999,25.850000,23.237274,650500
2018-02-02,25.799999,25.799999,25.100000,25.549999,22.967592,711800
2018-02-05,25.100000,25.299999,23.660000,23.950001,21.529312,1150000
2018-02-06,23.549999,24.500000,21.350000,24.350000,21.888882,1449400
2018-02-07,25.000000,25.500000,24.000000,24.100000,21.664148,1579300
2018-02-08,24.450001,24.700001,22.850000,23.000000,20.675329,1490600
2018-02-09,23.200001,23.400000,22.049999,22.900000,20.585436,1058600
2018-02-12,23.049999,24.100000,23.000000,23.549999,21.169737,930900
2018-02-13,23.450001,23.549999,23.150000,23.450001,21.079847,652000
2018-02-14,23.700001,24.150000,23.209999,23.650000,21.259632,857500
2018-02-15,24.000000,24.750000,23.799999,24.000000,21.574255,1432600
2018-02-16,23.950001,23.950001,23.150000,23.299999,21.237017,671300
2018-02-20,23.150000,23.799999,23.139999,23.250000,21.191444,597600
2018-02-21,23.350000,23.900000,22.950001,23.000000,20.963579,763800
2018-02-22,23.150000,23.450001,22.700001,23.250000,21.191444,731700
2018-02-23,23.299999,23.700001,22.900000,23.150000,21.100294,617100
2018-02-26,23.350000,23.850000,23.299999,23.750000,21.647175,750600
2018-02-27,23.850000,23.950001,23.000000,23.100000,21.054726,732800
2018-02-28,23.299999,23.549999,22.799999,22.850000,20.826860,715100
2018-03-01,22.799999,23.150000,22.200001,22.650000,20.644567,755300
2018-03-02,22.450001,22.950001,22.000000,22.600000,20.598993,620800
2018-03-05,22.400000,23.049999,22.299999,22.850000,20.826860,419400
2018-03-06,22.900000,23.000000,22.500000,22.799999,20.781284,424800
2018-03-07,22.799999,22.900000,22.430000,22.600000,20.598993,366700
2018-03-08,22.600000,22.709999,22.299999,22.600000,20.598993,338400
2018-03-09,22.799999,23.100000,22.600000,23.049999,21.009151,405800
2018-03-12,23.650000,23.650000,23.049999,23.350000,21.282587,476900
2018-03-13,23.549999,23.549999,22.900000,23.000000,20.963579,463200
2018-03-14,23.049999,23.049999,22.549999,22.750000,20.735716,428500
2018-03-15,22.799999,22.879999,22.299999,22.500000,20.507849,455800
2018-03-16,22.700001,22.900000,22.350000,22.450001,20.462276,647900
2018-03-19,22.400000,22.600000,22.010000,22.100000,20.143267,461100
2018-03-20,22.299999,22.450001,22.200001,22.350000,20.371130,413400
2018-03-21,22.299999,22.430000,22.150000,22.200001,20.234411,304800
2018-03-22,22.000000,22.150000,21.750000,21.799999,19.869825,507700
2018-03-23,21.799999,22.129999,21.400000,21.500000,19.596390,593900
2018-03-26,22.000000,22.000000,21.200001,21.400000,19.505243,403200
2018-03-27,21.400000,21.850000,21.200001,21.299999,19.414097,421300
2018-03-28,21.250000,21.450001,20.900000,21.000000,19.140657,434700
2018-03-29,21.000000,21.610001,20.900000,21.350000,19.459669,469800
2018-04-02,21.350000,21.350000,20.600000,20.799999,18.958366,451800
2018-04-03,20.799999,21.299999,20.700001,21.049999,19.186232,416400
2018-04-04,20.700001,21.150000,20.610001,21.100000,19.231804,437700
2018-04-05,21.200001,21.250000,20.799999,20.900000,19.049513,540700
2018-04-06,20.650000,20.730000,19.950001,20.250000,18.457064,828500
2018-04-09,20.400000,20.700001,20.150000,20.200001,18.411491,572800
2018-04-10,20.549999,20.799999,20.350000,20.650000,18.821648,471900
2018-04-11,20.350000,20.700001,20.350000,20.500000,18.684927,391200
2018-04-12,20.500000,20.730000,20.320000,20.650000,18.821648,346400
2018-04-13,20.700001,20.750000,20.030001,20.200001,18.411491,366500
2018-04-16,20.299999,20.299999,19.950001,20.200001,18.411491,464200
2018-04-17,20.299999,20.680000,20.150000,20.549999,18.730501,645100
2018-04-18,20.650000,21.049999,20.530001,20.730000,18.894564,603800
2018-04-19,20.700001,21.000000,20.510000,20.750000,18.912796,334400
2018-04-20,20.799999,21.000000,20.650000,20.850000,19.003939,255400
2018-04-23,20.850000,21.150000,20.850000,20.950001,19.095087,393000
2018-04-24,20.950001,21.100000,20.450001,20.650000,18.821648,573200
2018-04-25,20.700001,20.700001,19.950001,20.150000,18.365917,680300
2018-04-26,20.250000,20.350000,20.000000,20.200001,18.411491,347200
2018-04-27,20.200001,20.350000,20.150000,20.230000,18.438833,272100
2018-04-30,20.450001,20.750000,20.350000,20.500000,18.684927,420200
2018-05-01,20.549999,20.950001,20.350000,20.600000,18.776075,1093800
2018-05-02,20.750000,21.200001,20.500000,20.500000,18.684927,1646200
2018-05-03,21.500000,21.700001,20.700001,20.950001,19.095087,1016800
2018-05-04,20.850000,21.799999,20.850000,21.450001,19.550816,570700
2018-05-07,21.650000,22.100000,21.600000,22.000000,20.052118,517800
2018-05-08,21.900000,21.950001,21.200001,21.600000,19.687536,875300
2018-05-09,21.549999,22.000000,21.549999,21.799999,19.869825,588800
2018-05-10,21.700001,21.900000,21.400000,21.750000,20.072861,802000
2018-05-11,21.650000,21.850000,21.400000,21.650000,19.980572,671700
2018-05-14,21.650000,21.850000,21.430000,21.549999,19.888285,548300
2018-05-15,21.600000,21.799999,21.450001,21.600000,19.934429,654900
2018-05-16,21.450001,22.250000,21.450001,21.900000,20.211294,493600
2018-05-17,21.900000,22.350000,21.799999,22.350000,20.626596,367000
2018-05-18,22.400000,22.400000,21.500000,21.600000,19.934429,2453600
2018-05-21,21.750000,22.299999,21.700001,22.150000,20.442020,682400
2018-05-22,22.250000,22.400000,21.950001,21.950001,20.257441,737400
2018-05-23,21.750000,21.950001,21.549999,21.900000,20.211294,451600
2018-05-24,21.850000,22.150000,21.650000,21.950001,20.257441,492000
2018-05-25,21.850000,21.950001,21.750000,21.799999,20.119005,362200
2018-05-29,21.600000,21.799999,21.299999,21.700001,20.026720,534600
2018-05-30,21.700001,22.049999,21.700001,21.850000,20.165152,348800
2018-05-31,21.799999,22.299999,21.700001,21.900000,20.211294,408400
2018-06-01,21.950001,22.400000,21.950001,22.299999,20.580452,466800
2018-06-04,22.400000,22.600000,22.350000,22.500000,20.765030,437700
2018-06-05,22.549999,22.700001,22.500000,22.650000,20.903463,328000
2018-06-06,22.750000,23.049999,22.600000,22.650000,20.903463,521400
2018-06-07,22.799999,23.049999,22.750000,22.900000,21.134186,282900
2018-06-08,22.850000,22.900000,22.700001,22.750000,20.995754,233700
2018-06-11,22.799999,22.950001,22.600000,22.700001,20.949608,253600
2018-06-12,22.700001,22.850000,22.350000,22.450001,20.718887,275500
2018-06-13,22.450001,23.200001,22.400000,22.600000,20.857319,670100
2018-06-14,22.600000,22.900000,22.350000,22.799999,21.041895,376100
2018-06-15,22.750000,22.950001,22.450001,22.549999,20.811172,356600
2018-06-18,22.549999,22.850000,22.350000,22.650000,20.903463,327500
2018-06-19,22.400000,22.650000,22.230000,22.350000,20.626596,451900
2018-06-20,22.400000,22.650000,22.350000,22.450001,20.718887,338500
2018-06-21,22.549999,22.700001,22.280001,22.350000,20.626596,367800
2018-06-22,22.500000,22.799999,22.350000,22.500000,20.765030,450800
2018-06-25,22.549999,22.549999,21.900000,21.950001,20.257441,694300
2018-06-26,21.900000,22.400000,21.850000,22.049999,20.349728,567200
2018-06-27,22.150000,22.250000,21.450001,21.600000,19.934429,829400
2018-06-28,21.549999,21.850000,21.100000,21.100000,19.472982,618300
