idx,date,Close,MA,MACD,D,RSI,Supported_point,Pressed_point
0,1999-12-13,63.6875,-1,-1,-1,-1,{},{}
1,1999-12-14,62.9375,-1,3,-1,-1,{},{}
2,1999-12-15,62.375,-1,3,-1,-1,{},{}
3,1999-12-16,61.875,-1,2,-1,-1,{},{}
4,1999-12-17,61.4375,-1,2,-1,-1,{},{}
5,1999-12-20,61.5,-1,2,-1,-1,{},{}
6,1999-12-21,64.625,-1,2,-1,2.0,{},{}
7,1999-12-22,67.5625,-1,3,-1,4.0,{},{}
8,1999-12-23,66.75,-1,3,0.0,3.0,{},{}
9,1999-12-27,60.3125,-1,2,0.0,2.0,{},{}
10,1999-12-28,59.3125,-1,2,0.0,2.0,{},{}
11,1999-12-29,59.40625,-1,2,0.0,2.0,{},{}
12,1999-12-30,58.625,-1,2,0.0,1.0,{},{}
13,1999-12-31,59.1875,-1,2,0.0,0.0,{},{}
14,2000-01-03,55.5,-1,1,0.0,0.0,{},{}
15,2000-01-04,52.8125,-1,0,0.0,0.0,{},{}
16,2000-01-05,52.75,-1,0,0.0,0.0,{},{}
17,2000-01-06,53.5,-1,0,0.0,0.0,{},{}
18,2000-01-07,53.625,-1,0,0.0,0.0,{},{}
19,2000-01-10,52.65625,-1,0,0.0,0.0,{},{}
20,2000-01-11,49.875,-1,0,0.0,0.0,{},{}
21,2000-01-12,50.3125,-1,0,0.0,1.0,{},{}
22,2000-01-13,54.6875,-1,0,0.0,3.0,{},{}
23,2000-01-14,55.625,-1,0,1.0,3.0,{},{}
24,2000-01-18,52.8125,-1,0,1.0,2.0,{},{}
25,2000-01-19,53.375,-1,0,1.0,2.0,{},{}
26,2000-01-20,52.4375,-1,0,2.0,3.0,{},{}
27,2000-01-21,52.875,-1,0,2.0,3.0,{},{}
28,2000-01-24,52.0,-1,0,2.0,1.0,{},{}
29,2000-01-25,53.6875,-1,0,2.0,1.0,{},{}
30,2000-01-26,53.5625,-1,0,2.0,2.0,{},{}
31,2000-01-27,57.75,-1,1,2.0,3.0,{},{}
32,2000-01-28,56.125,-1,1,2.0,3.0,{},{}
33,2000-01-31,59.125,-1,2,3.0,3.0,{},{}
34,2000-02-01,59.75,-1,2,3.0,4.0,{},{}
35,2000-02-02,58.625,-1,2,3.0,3.0,{},{}
36,2000-02-03,57.9375,-1,2,3.0,3.0,{},{}
37,2000-02-04,55.3125,-1,2,3.0,1.0,{},{}
38,2000-02-07,55.25,-1,2,3.0,2.0,{},{}
39,2000-02-08,58.0625,-1,2,3.0,2.0,{},{}
40,2000-02-09,55.125,-1,2,3.0,1.0,{},{}
41,2000-02-10,54.9375,-1,2,2.0,1.0,{},{}
42,2000-02-11,54.6875,-1,2,2.0,1.0,{},{}
43,2000-02-14,54.125,-1,2,1.0,2.0,{},{}
44,2000-02-15,54.8125,-1,2,1.0,2.0,{},{}
45,2000-02-16,54.5625,-1,2,1.0,0.0,{},{}
46,2000-02-17,55.03125,-1,2,1.0,2.0,{},{}
47,2000-02-18,49.875,-1,2,1.0,0.0,{},{}
48,2000-02-22,51.125,-1,1,1.0,1.0,{},{}
49,2000-02-23,50.625,-1,1,1.0,1.0,{},{}
50,2000-02-24,50.875,-1,1,1.0,1.0,{},{}
51,2000-02-25,50.0,-1,1,1.0,1.0,{},{}
52,2000-02-28,51.5,-1,1,1.0,1.0,{},{}
53,2000-02-29,53.0625,-1,1,1.0,3.0,{},{}
54,2000-03-01,50.6875,-1,1,1.0,2.0,{},{}
55,2000-03-02,51.4375,-1,1,1.0,2.0,{},{}
56,2000-03-03,38.8125,-1,0,1.0,0.0,{},{}
57,2000-03-06,41.5625,-1,0,1.0,1.0,{},{}
58,2000-03-07,39.8125,-1,0,1.0,1.0,{},{}
59,2000-03-08,37.4375,-1,0,1.0,0.0,{},{}
60,2000-03-09,36.875,-1,0,1.0,0.0,{},{}
